samID	isEAE	isCD1
SRR7103277	0	1
SRR7103278	0	1
SRR7103279	0	1
SRR7103280	0	1
SRR7103281	0	1
SRR7103282	0	1
SRR7103283	0	1
SRR7103284	0	1
SRR7103285	0	1
SRR7103286	0	1
SRR7103287	0	1
SRR7103288	0	1
SRR7103289	0	1
SRR7103290	0	1
SRR7103291	0	1
SRR7103292	0	1
SRR7103293	0	1
SRR7103294	0	1
SRR7103295	0	1
SRR7103296	0	1
SRR7103297	0	1
SRR7103298	0	1
SRR7103299	0	1
SRR7103300	0	1
SRR7103301	0	1
SRR7103302	0	1
SRR7103303	0	1
SRR7103304	0	1
SRR7103305	0	1
SRR7103306	0	1
SRR7103307	0	1
SRR7103308	0	1
SRR7103309	0	1
SRR7103310	0	1
SRR7103311	0	1
SRR7103312	0	1
SRR7103313	0	1
SRR7103314	0	1
SRR7103315	0	1
SRR7103316	0	1
SRR7103317	0	1
SRR7103318	0	1
SRR7103319	0	1
SRR7103320	0	1
SRR7103321	0	1
SRR7103322	0	1
SRR7103323	0	1
SRR7103324	0	1
SRR7103325	0	1
SRR7103326	0	1
SRR7103327	0	1
SRR7103328	0	1
SRR7103329	0	1
SRR7103330	0	1
SRR7103331	0	1
SRR7103332	0	1
SRR7103333	0	1
SRR7103334	0	1
SRR7103335	0	1
SRR7103336	0	1
SRR7103337	0	1
SRR7103338	0	1
SRR7103339	0	1
SRR7103340	0	1
SRR7103341	0	1
SRR7103342	0	1
SRR7103343	0	1
SRR7103344	0	1
SRR7103345	0	1
SRR7103346	0	1
SRR7103347	0	1
SRR7103348	0	1
SRR7103349	0	1
SRR7103350	0	1
SRR7103351	0	1
SRR7103352	0	1
SRR7103353	0	1
SRR7103354	0	1
SRR7103355	0	1
SRR7103356	0	1
SRR7103357	0	1
SRR7103358	0	1
SRR7103359	0	1
SRR7103360	0	1
SRR7103361	0	1
SRR7103362	0	1
SRR7103363	0	1
SRR7103364	0	1
SRR7103365	0	1
SRR7103366	0	1
SRR7103367	0	1
SRR7103368	0	1
SRR7103369	0	1
SRR7103370	0	1
SRR7103371	0	1
SRR7103372	0	1
SRR7103373	0	1
SRR7103374	0	1
SRR7103375	0	1
SRR7103376	0	1
SRR7103377	0	1
SRR7103378	0	1
SRR7103379	0	1
SRR7103380	0	1
SRR7103381	0	1
SRR7103382	0	1
SRR7103383	0	1
SRR7103384	0	1
SRR7103385	0	1
SRR7103386	0	1
SRR7103387	0	1
SRR7103388	0	1
SRR7103389	0	1
SRR7103390	0	1
SRR7103391	0	1
