GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	isEAE_ceoff	isEAE_ELBO_gain	isEAE_pval	isEAE_FDR
ENSMUSG00000015488	1406	184	1.164e-01	-6.336e+00	2.866e+00	-1.045e+00	3.521e-01	4.014e-01	7.730e-01
ENSMUSG00000037487	10659	2665	2.011e-01	6.539e+00	2.358e+00	-5.810e-01	-5.713e-02	1.000e+00	1.000e+00
ENSMUSG00000063077	2658	518	2.292e-01	-7.600e+00	3.222e+00	7.473e-01	-4.492e-02	1.000e+00	1.000e+00
ENSMUSG00000031586.AS2	5070	223	7.835e-02	-2.343e-02	5.159e+00	-2.068e+00	3.375e-01	4.113e-01	7.730e-01
ENSMUSG00000037112	10232	716	2.636e-01	6.127e-01	3.985e+00	3.994e-01	1.098e+00	1.384e-01	4.627e-01
ENSMUSG00000024074	3155	883	8.832e-02	3.781e+00	2.579e+00	1.198e+00	-1.183e-01	1.000e+00	1.000e+00
ENSMUSG00000021998	2555	1058	1.091e-01	-2.927e-01	2.929e+00	4.858e+00	9.751e+00	1.005e-05	4.624e-04
ENSMUSG00000057191	6350	500	8.243e-02	-3.882e+00	1.811e+00	-5.120e+00	3.674e+00	6.711e-03	7.718e-02
ENSMUSG00000025486	6043	550	1.499e-01	-8.639e+00	4.050e+00	1.908e-01	-7.319e-01	1.000e+00	1.000e+00
ENSMUSG00000020593.AS2	1265	323	7.699e-02	4.456e+00	1.011e+00	-2.614e+00	3.277e+00	1.047e-02	9.632e-02
ENSMUSG00000001089	9986	518	1.395e-01	-5.330e+00	5.870e+00	1.993e+00	9.167e-01	1.757e-01	4.755e-01
ENSMUSG00000015222.AS3	998	482	9.284e-02	2.594e-01	7.713e+00	-4.816e+00	2.572e+00	2.333e-02	1.788e-01
ENSMUSG00000024242	436	182	5.254e-02	3.132e-01	4.713e+00	2.114e+00	5.845e-01	2.796e-01	6.431e-01
ENSMUSG00000027615	1227	552	6.386e-02	3.150e-01	4.260e+00	4.268e+00	5.977e+00	5.451e-04	8.358e-03
ENSMUSG00000031601	44679	3074	3.460e-01	2.820e+00	3.534e+00	1.698e+00	4.776e+00	1.997e-03	2.296e-02
ENSMUSG00000031644.AS2	4613	1701	9.375e-02	7.729e+00	3.184e+00	-1.869e+00	1.123e+00	1.339e-01	3.740e-01
ENSMUSG00000038848	2249	493	2.654e-01	-6.420e+00	1.431e+00	5.225e-02	5.652e-02	7.367e-01	1.000e+00
ENSMUSG00000031644.AS3	1320	373	6.793e-02	3.864e+00	5.037e+00	-2.412e+00	1.689e-01	5.611e-01	9.218e-01
ENSMUSG00000050545	1579	650	7.473e-02	1.813e+00	7.214e+00	-2.645e+00	1.783e+00	5.899e-02	2.713e-01
ENSMUSG00000003435	1958	264	2.332e-01	-4.613e+00	3.682e+00	-1.051e+00	1.099e+00	1.382e-01	3.740e-01
ENSMUSG00000026854.AS2	468	216	4.665e-02	3.843e+00	4.764e-01	-4.942e-01	1.252e-01	6.169e-01	9.459e-01
ENSMUSG00000024787.AS2	20267	1688	4.044e-01	-7.472e+00	3.238e+00	-1.869e-01	-6.128e-01	1.000e+00	1.000e+00
ENSMUSG00000020634	3162	741	1.110e-01	1.889e-01	4.179e+00	1.611e+00	1.396e+00	9.469e-02	3.626e-01
ENSMUSG00000021048	1091	353	1.019e-01	5.318e+00	1.114e+00	-1.698e+00	1.326e+00	1.035e-01	3.626e-01
ENSMUSG00000039218	19771	11478	6.205e-01	5.397e+00	1.391e+00	-6.673e-01	7.764e-01	2.127e-01	4.893e-01
ENSMUSG00000015882	34495	11907	2.609e-01	-3.991e+00	7.711e+00	1.145e+00	-2.519e+00	1.000e+00	1.000e+00
ENSMUSG00000004018	1724	678	4.801e-02	7.183e+00	2.842e+00	-3.873e-01	1.160e-02	8.790e-01	1.000e+00
ENSMUSG00000036502	1908	703	7.926e-02	3.606e+00	1.845e+00	1.116e+00	1.501e-01	5.837e-01	9.259e-01
ENSMUSG00000001039.AS2	5975	2772	1.327e-01	4.481e+00	3.102e+00	3.211e+00	5.829e+00	6.392e-04	1.470e-02
ENSMUSG00000021306	48683	2169	4.189e-01	-9.000e+00	4.279e+00	4.271e+00	4.722e+01	2.515e-22	1.157e-20
ENSMUSG00000033365	14882	1453	4.470e-01	-6.881e+00	2.055e+00	5.814e-01	1.114e+00	1.355e-01	3.740e-01
ENSMUSG00000021669	1176	373	5.118e-02	7.011e+00	4.698e+00	-4.638e+00	4.445e+00	2.867e-03	2.637e-02
ENSMUSG00000036552	6174	1902	1.911e-01	4.545e+00	2.400e+00	-8.856e-02	1.365e+00	9.851e-02	3.626e-01
ENSMUSG00000038773	5340	1860	1.508e-01	-5.267e-01	6.403e+00	9.283e-01	-2.859e-01	1.000e+00	1.000e+00
ENSMUSG00000056938	1204	216	6.612e-02	2.590e+00	3.609e+00	1.092e-01	5.962e-01	2.748e-01	5.747e-01
ENSMUSG00000036833.AS2	1001	84	7.563e-02	-3.455e+00	2.283e+00	-9.873e-01	3.078e-01	4.327e-01	7.844e-01
ENSMUSG00000042901	1244	175	2.029e-01	-7.690e+00	3.896e+00	1.019e+00	8.729e-01	1.864e-01	4.764e-01
ENSMUSG00000079562	4334	437	1.970e-01	-6.398e+00	1.349e+00	1.028e+00	6.403e-01	2.578e-01	5.647e-01
ENSMUSG00000033545.AS2	4212	255	1.544e-01	-5.942e+00	3.931e+00	-1.025e-01	-1.141e-01	1.000e+00	1.000e+00
ENSMUSG00000022364.AS3	501	164	2.310e-02	1.462e+00	3.873e+00	2.429e+00	2.601e-01	4.708e-01	8.020e-01
ENSMUSG00000022770	4456	564	2.274e-01	-4.109e+00	4.160e+00	6.738e-02	-7.419e-01	1.000e+00	1.000e+00
ENSMUSG00000029528	844	87	1.042e-01	-3.790e+00	3.458e+00	-7.287e-01	2.938e-01	4.434e-01	7.844e-01
ENSMUSG00000040459	3440	815	3.048e-01	-1.322e+00	5.205e+00	3.204e-01	-1.155e+00	1.000e+00	1.000e+00
