GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	time_ceoff	time_ELBO_gain	time_pval	time_FDR
Abca5	602	602	1.171e-01	1.609e+00	1.419e+00	-1.140e-02	4.091e+00	4.231e-03	5.321e-02
Uba1	6673	6673	8.461e-01	4.403e+00	5.356e-01	-7.132e-04	2.011e-02	8.410e-01	1.000e+00
Col22a1	420	420	1.142e-02	-2.470e+00	7.910e-01	-1.952e-03	-2.483e-01	1.000e+00	1.000e+00
Rnf25	379	379	9.198e-02	2.054e+00	1.333e+00	-1.558e-03	-3.432e-01	1.000e+00	1.000e+00
Coro1c	3285	3285	5.793e-01	2.515e+00	6.509e-01	5.532e-03	1.544e+00	7.887e-02	3.330e-01
Atpif1	13580	13580	9.687e-01	4.132e+00	7.203e-01	1.331e-02	1.025e+01	5.990e-06	4.897e-04
Camsap1	2896	2896	5.329e-01	2.983e+00	6.163e-01	1.236e-03	-1.093e+00	1.000e+00	1.000e+00
Zmat4	731	731	4.892e-03	-3.155e+00	4.558e-01	-7.567e-03	-2.360e-01	1.000e+00	1.000e+00
Rab3gap1	546	546	8.806e-02	6.146e-01	1.544e+00	-6.961e-03	2.338e+00	3.058e-02	2.041e-01
Washc5	571	571	1.236e-01	1.828e+00	1.277e+00	-7.575e-03	1.649e+00	6.940e-02	3.026e-01
Ppfia2	4690	4690	5.078e-01	7.089e-01	9.834e-01	-3.055e-03	1.072e+00	1.431e-01	4.587e-01
Trpc1	948	948	1.592e-01	7.005e-01	1.271e+00	-1.608e-03	2.316e-01	4.962e-01	1.000e+00
Slc25a16	448	448	1.060e-01	2.486e+00	1.046e+00	-9.228e-03	1.017e+00	1.539e-01	4.664e-01
Ndufa10	3563	3563	6.259e-01	3.442e+00	5.319e-01	-2.834e-03	-5.607e-01	1.000e+00	1.000e+00
Noa1	511	511	1.138e-01	2.452e+00	1.409e+00	-1.320e-02	3.104e+00	1.272e-02	1.125e-01
Acss1	379	379	7.078e-02	1.640e+00	1.373e+00	-1.870e-02	6.584e+00	2.846e-04	8.461e-03
Zfand5	5736	5736	7.551e-01	4.023e+00	7.996e-01	2.036e-03	-3.358e-01	1.000e+00	1.000e+00
March2	668	668	1.530e-01	2.010e+00	9.646e-01	-9.481e-04	-6.073e-02	1.000e+00	1.000e+00
Gp1bb	527	527	1.477e-01	3.559e+00	4.324e-01	1.010e-03	-2.911e+00	1.000e+00	1.000e+00
Paqr4	975	975	2.476e-01	3.848e+00	3.958e-01	2.574e-03	-3.447e+00	1.000e+00	1.000e+00
Btbd11	755	755	8.611e-02	-2.375e-01	1.478e+00	-6.785e-03	7.537e-01	2.195e-01	5.933e-01
Atrn	1778	1778	3.200e-01	1.984e+00	1.476e+00	-3.583e-03	1.471e+00	8.636e-02	3.445e-01
Ncam2	1355	1355	1.631e-02	-3.255e+00	1.171e+00	-6.165e-03	-3.604e-02	1.000e+00	1.000e+00
Polr2c	865	865	2.179e-01	3.514e+00	5.191e-01	-8.885e-03	1.760e+00	6.060e-02	2.893e-01
Galnt13	1580	1580	6.654e-02	-2.112e+00	1.237e+00	-7.412e-04	-2.173e-01	1.000e+00	1.000e+00
Lgmn	389	389	7.599e-02	1.107e+00	1.470e+00	-8.143e-04	-4.193e-01	1.000e+00	1.000e+00
Dph6	360	360	3.783e-02	-7.346e-01	1.866e+00	-1.326e-03	8.030e-01	2.050e-01	5.682e-01
Txnl4a	1995	1995	4.250e-01	3.771e+00	4.030e-01	1.557e-03	-1.260e+00	1.000e+00	1.000e+00
Pappa	565	565	9.459e-03	-2.884e+00	8.462e-01	-2.958e-03	-5.116e-01	1.000e+00	1.000e+00
Pcbp2	1444	1444	7.632e-02	-1.558e+00	1.026e+00	-6.944e-03	3.122e+00	1.246e-02	1.125e-01
Ptov1	5489	5489	7.795e-01	4.742e+00	3.903e-01	-7.408e-03	2.111e+00	3.991e-02	2.373e-01
Enc1	15862	15862	9.273e-01	5.545e+00	3.292e-01	1.155e-04	-2.411e+00	1.000e+00	1.000e+00
Nos1	617	617	1.073e-01	1.074e+00	1.533e+00	-5.075e-03	3.929e-01	3.753e-01	8.465e-01
Eif2b5	1439	1439	3.496e-01	3.925e+00	4.087e-01	1.964e-04	-1.239e+00	1.000e+00	1.000e+00
Ndufb4	965	965	2.515e-01	3.747e+00	4.246e-01	-3.047e-03	-8.326e-01	1.000e+00	1.000e+00
Tex11	513	513	1.957e-03	-3.498e+00	5.335e-01	-1.016e-03	-1.184e+00	1.000e+00	1.000e+00
Jtb	1640	1640	3.604e-01	3.746e+00	4.257e-01	2.527e-03	-6.507e-01	1.000e+00	1.000e+00
Tdp1	527	527	7.730e-02	9.721e-03	1.502e+00	4.513e-04	6.191e-01	2.658e-01	6.585e-01
Grm1	736	736	2.185e-02	-2.294e+00	8.529e-01	-4.526e-03	-5.817e-02	1.000e+00	1.000e+00
Ablim2	833	833	1.200e-01	5.788e-02	1.518e+00	4.283e-03	1.512e+00	8.209e-02	3.355e-01
Gm44593	397	397	1.957e-03	-3.547e+00	5.474e-01	2.083e-03	-4.290e-01	1.000e+00	1.000e+00
Bri3bp	1536	1536	3.542e-01	3.527e+00	4.588e-01	4.027e-03	-8.238e-01	1.000e+00	1.000e+00
Mdm4	1595	1595	3.131e-01	1.400e+00	1.090e+00	9.919e-03	6.433e+00	3.345e-04	9.115e-03
Cdk19	1874	1874	3.023e-01	1.284e+00	1.431e+00	2.928e-03	-3.005e-01	1.000e+00	1.000e+00
Lats1	917	917	2.153e-01	2.502e+00	8.795e-01	2.750e-03	9.181e-01	1.754e-01	4.968e-01
Hspa13	864	864	2.100e-01	3.629e+00	4.142e-01	4.718e-03	-2.731e+00	1.000e+00	1.000e+00
Med12l	428	428	1.696e-02	-2.310e+00	1.406e+00	-1.194e-03	-1.414e-01	1.000e+00	1.000e+00
2410004B18Rik	1607	1607	3.545e-01	3.715e+00	4.581e-01	5.232e-03	-1.156e+00	1.000e+00	1.000e+00
Cdh11	1084	1084	1.233e-01	-1.711e-01	1.455e+00	-2.746e-03	-2.570e-01	1.000e+00	1.000e+00
Slain1	1451	1451	3.180e-01	2.928e+00	7.880e-01	-4.617e-03	1.184e+00	1.238e-01	4.261e-01
Cog7	550	550	1.197e-01	1.255e+00	1.120e+00	8.209e-03	2.022e+00	4.434e-02	2.417e-01
Hspa9	4480	4480	6.892e-01	3.991e+00	4.081e-01	6.787e-03	-4.365e-01	1.000e+00	1.000e+00
Top2b	4687	4687	6.931e-01	3.680e+00	1.173e+00	1.295e-03	1.031e+00	1.510e-01	4.664e-01
Tfdp2	411	411	3.686e-02	-1.203e+00	1.655e+00	6.367e-04	1.387e+00	9.580e-02	3.683e-01
Lmo7	1388	1388	2.012e-01	6.765e-01	1.226e+00	-7.658e-04	-8.638e-01	1.000e+00	1.000e+00
Cep170	3949	3949	6.360e-01	3.078e+00	7.098e-01	1.418e-03	-7.874e-01	1.000e+00	1.000e+00
Pogk	1310	1310	3.131e-01	3.712e+00	4.162e-01	2.662e-03	-1.259e+00	1.000e+00	1.000e+00
Fkbp3	2399	2399	4.560e-01	3.836e+00	8.056e-01	-8.133e-03	2.252e+00	3.380e-02	2.085e-01
Sharpin	406	406	1.132e-01	3.497e+00	4.646e-01	-6.511e-03	-2.136e+00	1.000e+00	1.000e+00
Zc4h2	635	635	1.634e-01	3.124e+00	5.615e-01	-5.652e-04	-5.022e-01	1.000e+00	1.000e+00
Cfap61	611	611	7.175e-03	-3.078e+00	6.638e-01	-2.818e-03	2.389e-01	4.894e-01	1.000e+00
Msantd2	844	844	1.898e-01	1.997e+00	1.232e+00	5.102e-03	8.615e-01	1.893e-01	5.291e-01
Lrrc59	587	587	1.556e-01	3.153e+00	7.073e-01	-4.758e-03	5.043e-01	3.153e-01	7.490e-01
Gm26861	537	537	5.219e-03	-3.410e+00	1.097e+00	-2.148e-03	1.153e-01	6.311e-01	1.000e+00
Pigk	758	758	1.575e-01	1.538e+00	1.173e+00	-8.347e-04	-3.991e-01	1.000e+00	1.000e+00
Cystm1	1078	1078	2.277e-01	1.604e+00	9.193e-01	1.680e-02	1.544e+01	2.731e-08	8.931e-06
Ncoa4	345	345	9.165e-02	2.529e+00	8.659e-01	1.421e-03	-5.042e-01	1.000e+00	1.000e+00
Sparcl1	1590	1590	2.802e-01	3.287e+00	8.104e-01	-5.945e-04	7.213e-01	2.297e-01	6.009e-01
Ube2v2	1027	1027	2.257e-01	2.081e+00	1.168e+00	1.576e-03	3.726e-01	3.880e-01	8.632e-01
Ccdc93	448	448	9.654e-02	1.422e+00	1.191e+00	-2.478e-03	-3.148e-01	1.000e+00	1.000e+00
Pomgnt1	1220	1220	2.857e-01	3.372e+00	7.399e-01	-3.512e-03	8.525e-02	6.797e-01	1.000e+00
Trank1	2323	2323	4.419e-01	2.491e+00	7.735e-01	4.128e-03	1.980e+00	4.659e-02	2.497e-01
Mecr	524	524	1.083e-01	6.233e-01	1.397e+00	2.302e-02	8.101e+00	5.692e-05	2.294e-03
Ipo8	589	589	1.311e-01	1.981e+00	1.185e+00	-2.684e-03	7.288e-01	2.273e-01	6.009e-01
Alkbh5	703	703	1.696e-01	2.876e+00	8.379e-01	-3.021e-03	-3.271e-01	1.000e+00	1.000e+00
Ddx55	637	637	1.477e-01	2.573e+00	1.130e+00	-2.004e-03	-4.979e-02	1.000e+00	1.000e+00
Ybx3	2287	2287	4.413e-01	2.997e+00	9.615e-01	5.166e-03	2.486e-01	4.807e-01	1.000e+00
